Date,Close
8/29/2013,1.0529
8/30/2013,1.0536
9/2/2013,1.0556
9/3/2013,1.053
9/4/2013,1.049
9/5/2013,1.0502
9/6/2013,1.0406
9/9/2013,1.0374
9/10/2013,1.0346
9/11/2013,1.0318
9/12/2013,1.0324
9/13/2013,1.0347
9/16/2013,1.0323
9/17/2013,1.0295
9/18/2013,1.0223
9/19/2013,1.026
9/20/2013,1.0298
9/23/2013,1.028
9/24/2013,1.0303
9/25/2013,1.0312
9/26/2013,1.0312
9/27/2013,1.0301
9/30/2013,1.0299
10/1/2013,1.0323
10/2/2013,1.0325
10/3/2013,1.0323
10/4/2013,1.0296
10/7/2013,1.0311
10/8/2013,1.0364
10/9/2013,1.0389
10/10/2013,1.0393
10/11/2013,1.0352
10/14/2013,1.0349
10/15/2013,1.0378
10/16/2013,1.0331
10/17/2013,1.0292
10/18/2013,1.0294
10/21/2013,1.03
10/22/2013,1.0287
10/23/2013,1.0385
10/24/2013,1.0425
10/25/2013,1.0452
10/28/2013,1.0438
10/29/2013,1.0463
10/30/2013,1.0478
10/31/2013,1.042
11/1/2013,1.0426
11/4/2013,1.0419
11/5/2013,1.0454
11/6/2013,1.0417
11/7/2013,1.0455
11/8/2013,1.0479
11/11/2013,1.0474
11/12/2013,1.0493
11/13/2013,1.0457
11/14/2013,1.0472
11/15/2013,1.0445
11/18/2013,1.0433
11/19/2013,1.0473
11/20/2013,1.0448
11/21/2013,1.0523
11/22/2013,1.0523
11/25/2013,1.0549
11/26/2013,1.0542
11/27/2013,1.0593
11/28/2013,1.0587
11/29/2013,1.0612
12/2/2013,1.0642
12/3/2013,1.065
12/4/2013,1.0678
12/5/2013,1.0648
12/6/2013,1.0655
12/9/2013,1.0635
12/10/2013,1.0603
12/11/2013,1.0592
12/12/2013,1.064
12/13/2013,1.0595
12/16/2013,1.0588
12/17/2013,1.0607
12/18/2013,1.0676
12/19/2013,1.0665
12/20/2013,1.0645
12/23/2013,1.0611
12/24/2013,1.0618
12/25/2013,1.062
12/26/2013,1.0642
12/27/2013,1.071
12/30/2013,1.0639
12/31/2013,1.0636
1/1/2014,1.0614
1/2/2014,1.0668
1/3/2014,1.0628
1/6/2014,1.0652
1/7/2014,1.0774
1/8/2014,1.0803
1/9/2014,1.0853
1/10/2014,1.0892
1/13/2014,1.0855
1/14/2014,1.0946
1/15/2014,1.094
1/16/2014,1.0923
1/17/2014,1.0974
1/20/2014,1.0958
1/21/2014,1.0973
1/22/2014,1.1075
1/23/2014,1.1106
1/24/2014,1.1071
1/27/2014,1.11
1/28/2014,1.1157
1/29/2014,1.1167
1/30/2014,1.1166
1/31/2014,1.1135
2/3/2014,1.1094
2/4/2014,1.107
2/5/2014,1.1079
2/6/2014,1.1064
2/7/2014,1.1039
2/10/2014,1.1052
2/11/2014,1.1013
2/12/2014,1.0997
2/13/2014,1.0976
2/14/2014,1.0984
2/17/2014,1.0956
2/18/2014,1.0945
2/19/2014,1.1083
2/20/2014,1.1098
2/21/2014,1.1122
2/24/2014,1.1062
2/25/2014,1.1085
2/26/2014,1.1119
2/27/2014,1.1141
2/28/2014,1.1075
3/3/2014,1.108
3/4/2014,1.1103
3/5/2014,1.1037
3/6/2014,1.0984
3/7/2014,1.1093
3/10/2014,1.1098
3/11/2014,1.1104
3/12/2014,1.1119
3/13/2014,1.1056
3/14/2014,1.1092
3/17/2014,1.1058
3/18/2014,1.1139
3/19/2014,1.1244
3/20/2014,1.1242
3/21/2014,1.1212
3/24/2014,1.1189
3/25/2014,1.1158
3/26/2014,1.1106
3/27/2014,1.103
3/28/2014,1.1062
3/31/2014,1.1051
4/1/2014,1.1028
4/2/2014,1.1023
4/3/2014,1.1032
4/4/2014,1.098
4/7/2014,1.0965
4/8/2014,1.0922
4/9/2014,1.0869
4/10/2014,1.0925
4/11/2014,1.0972
4/14/2014,1.0963
4/15/2014,1.0977
4/16/2014,1.1017
4/17/2014,1.1009
4/18/2014,1.1012
4/21/2014,1.1012
4/22/2014,1.1024
4/23/2014,1.1032
4/24/2014,1.1026
4/25/2014,1.1035
4/28/2014,1.1019
4/29/2014,1.0955
4/30/2014,1.0951
5/1/2014,1.0963
5/2/2014,1.0981
5/5/2014,1.0953
5/6/2014,1.0877
5/7/2014,1.0893
5/8/2014,1.0823
5/9/2014,1.0898
5/12/2014,1.0894
5/13/2014,1.0907
5/14/2014,1.0877
5/15/2014,1.0874
5/16/2014,1.0858
5/19/2014,1.0868
5/20/2014,1.0895
5/21/2014,1.0915
5/22/2014,1.0894
5/23/2014,1.087
5/26/2014,1.0853
5/27/2014,1.0859
5/28/2014,1.0875
5/29/2014,1.0839
5/30/2014,1.0842
6/2/2014,1.0899
6/3/2014,1.0908
6/4/2014,1.0934
6/5/2014,1.0928
6/6/2014,1.0927
6/9/2014,1.0907
6/10/2014,1.0905
6/11/2014,1.0868
6/12/2014,1.0853
6/13/2014,1.0856
6/16/2014,1.0839
6/17/2014,1.0864
6/18/2014,1.0846
6/19/2014,1.0823
6/20/2014,1.075
6/23/2014,1.0725
6/24/2014,1.0744
6/25/2014,1.0721
6/26/2014,1.0691
6/27/2014,1.0664
6/30/2014,1.0667
7/1/2014,1.0634
7/2/2014,1.0668
7/3/2014,1.0624
7/4/2014,1.0636
7/7/2014,1.0679
7/8/2014,1.0681
7/9/2014,1.0654
7/10/2014,1.0646
7/11/2014,1.0734
7/14/2014,1.0714
7/15/2014,1.0762
7/16/2014,1.0748
7/17/2014,1.0751
7/18/2014,1.0737
7/21/2014,1.0733
7/22/2014,1.0735
7/23/2014,1.0727
7/24/2014,1.0746
7/25/2014,1.0815
7/28/2014,1.0802
7/29/2014,1.0853
7/30/2014,1.0897
7/31/2014,1.09
8/1/2014,1.0925
8/4/2014,1.0906
8/5/2014,1.096
8/6/2014,1.0916
8/7/2014,1.0922
8/8/2014,1.0971
8/11/2014,1.0927
8/12/2014,1.0922
8/13/2014,1.0924
8/14/2014,1.0906
8/15/2014,1.0892
8/18/2014,1.0887
8/19/2014,1.0942
8/20/2014,1.0968
8/21/2014,1.0945
8/22/2014,1.0944
8/25/2014,1.0982
8/26/2014,1.095
8/27/2014,1.0846
8/28/2014,1.0848
8/29/2014,1.0871
9/1/2014,1.0865
9/2/2014,1.0929
9/3/2014,1.0886
9/4/2014,1.0873
9/5/2014,1.0882
9/8/2014,1.0971
9/9/2014,1.0983
9/10/2014,1.0943
9/11/2014,1.1049
9/12/2014,1.1089
9/15/2014,1.105
9/16/2014,1.0972
9/17/2014,1.0999
